japanese,chinese
の,的
に,到
を,的
は,牙齿
年,年
が,但
た,塔
で,在
て,手
と,和
し,死亡
月,月
日,天
れ,关于
さ,不同之处
者,人
する,做
も,也
ます,马苏
利用,使用
こと,事物
ある,是
いる,有
な,钠
から,从
い,胃
ない,没有
ページ,页
第,不。
へ,屁
や,或者
日本,日本
として,作为
です,是
か,蚊子
会話,对话
削除,删除
この,这
市,城市
県,州
れる,能够
あり,可
ん,是的
よう,哟
ため,为了
的,目标
編集,编辑
ください,请
人,男人
という,这就是所谓的
など,这样的
依頼,要求
なっ,什么？
名,给定的名称
版,版
でき,可以做到
ませ,不要吧
リンク,关联
駅,车站
記事,文章
‐,-
について,关于
う,鸬鹚
その,这
もの,事物
投稿,邮政
ば,巴
町,镇
まし,更好的
なる,变得
場合,案件
あっ,啊
ノート,笔记
号,问题
方針,政策
回,次
さん,先生 小姐
まで,到
だ,是
中,期间~
ので,所以
一,一
放送,播送
後,后部
おり,笼
人物,人
署名,签名
本,书
において,在
家,房子
られ,稀有的
また,还
選手,玩家
お,哦
活動,活动
東京,东京
画像,图像
会,协会
学校,学校
映画,电影
時,时间
情報,信息
性,性别
部,部门
より,比
案内,指导
質問,问题
区,沃德
ご,去
大,大的
上,向上
紹介,介绍
作成,创造
日本語,日本人
これ,这
位,秩
国,国家
二,二
一覧,列表
作品,工作
ようこそ,欢迎
議論,讨论
使用,使用
村,村庄
出典,来源
世界,世界
テレビ,电视机
による,经过
州,状态
なり,变得
三,三
問題,问题
昭和,昭和
線,线
郡,县
番組,程序
ファイル,文件
脚注,脚注
賞,奖
なく,没有
なら,如果
自己,自己
話,故事
ず,数字
により,经过
分,分钟
前,前
代表,代表
たら,塔拉
せ,高度
化,转型
平成,平成
に関する,相关
できる,能
出身,出生地
仮,暂定的
スタイル,风格
ガイドライン,指导方针
思い,想法
方,方向
外部,外部的
数,数字
五,五
内容,内容
児童,孩子们
関連,联系
ヘルプ,帮助
現在,当前的
時代,时代
元,以前的
それ,那
研究,研究
新,新的
注意,笔记
他,其他
金,钱
局,局
機能,功能
あなた,你
除去,移动
鉄道,铁路
項目,物品
】,]
【,[
目,眼睛
とき,时间
用,为了
曲,歌曲
社,公司
使い方,如何使用
必要,需要
説明,解释
基本,基本的
によって,经过
大学,大学
変更,改变
水,水
新しい,新的
チーム,团队
執筆,写作
道,路
間,尽管
型,模具
でしょ,正确的
サッカー,足球
大会,比赛
ガイドブック,指南
地,地球
のみ,仅有的
み,水果
書か,书面
べき,应该
たり,塔里
ブロック,堵塞
私,我
戦,战争
公式,官方的
出演,外貌
可能,可能的
登場,外貌
等,ETC
系,系统
特別,特别的
監督,导演
氏,先生。
次,下一个
だっ,就是这样
高等,中学
時間,时间
き,树
～,～
内,里面
音楽,音乐
歴史,历史
所,地方
発売,发布
だけ,仅有的
語,单词
なかっ,没有任何
ボックス,盒子
生徒,学生
学,学习
記録,记录
軍,军队
万,万
！,！
場,地方
全,全部
別,其他
初,第一次
シリーズ,系列
土,土壤
木,木头
総合,综合的
何,什么
行っ,去
ゲーム,游戏
サイト,地点
関係,关系
られる,能够
お願い,请
同じ,相同的
サンド,沙
つ,一
考え,想法
見,看
火,火
アルバム,专辑
点,观点
機,机器
アニメ,日本动画片
国際,国际的
法,法律
ドラマ,戏剧
大阪,大阪
ただし,然而
行わ,完毕
たち,太刀
柱,支柱
マニュアル,手动的
リーグ,联盟
コメント,评论
教育,教育
野球,棒球
方々,人员
確認,确认
役,角色
株式会社,有限公司。
同,相同的
こんにちは,你好
書く,写
長,长的
所属,联系
開始,开始
主,主要的
形,形状
アメリカ,美国
＝,=
アカウント,帐户
ここ,这里
選手権,锦标赛
出場,参与
たい,鲷鱼
存在,存在
十,十
記述,描述
際,边缘
参考,参考
事典,百科全书
ら,和别的
史,历史
以上,就这样
以下,以下
作,由制成
競技,竞赛
方法,方法
結果,结果
世,世界
続け,继续
における,在
歳,年龄
システム,系统
および,和
科,部门
権,正确的
参加,参加
車,车
地域,地区
委員,委员会成员
その後,在那之后
高,高的
クラブ,俱乐部
事業,商业
都,首都
今後,今后
名前,姓名
よく,经常
式,公式
小学校,小学
度,每次
期,时期
作曲,作品
巻,卷
発言,评论
集,收藏
和書,日本书
王,国王
ソート,种类
バス,公共汽车
一部,部分
しかし,但
？,？
事,案件
多く,许多
にて,在
開催,握住
開発,发展
デフォルト,默认
下さい,请
なお,此外
百科,百科全书
自由,自由
会社,公司
御,上帝
作業,工作
読み,阅读
下,在下面
編,已编辑
南,南
事件,事件
受け,已收到
に関して,关于
世紀,世纪
カテゴリ,类别
過去,过去的
代,青少年
しまっ,志摩
表記,符号
中央,中心
優勝,胜利
以降,向前
明治,明治
各,每个
ね,嘿
選挙,选举
出版,出版物
北,北
文章,句子
発表,公告
中国,中国
アメリカ合衆国,美国
年度,年
…,……
→,→
円,圆圈
協会,协会
市立,市级
旧,老的
英語,英语
機関,机构
収録,记录
スポーツ,运动的
級,年级
す,醋
約,关于
担当,负责
及び,也
東,东方
一般,一般的
ドイツ,德国
著作,作品
当時,当时
自分,我
文化,文化
指定,指定
地方,地区
物,事物
参照,参考
自身,他自己
年生,年级
管理,管理
制作,生产
学生,学生
使っ,使用
企業,公司
終了,结尾
都市,城市
すれ,滑
名称,姓名
秒,秒
書き,写作
社会,社会
廃止,废除
提案,建议
グループ,团体
漫画,漫画
センター,中心
女子,女孩们
決定,决定
女性,女士
よ,哟
四,四
子,孩子
京都,京都
理由,原因
中学校,初中
番号,数字
×,×
ほか,其他的
記載,描述
彼,他
年代,时代
設立,设立
にとって,为了
概要,概述
番,数字
試合,游戏
フランス,法国
まず,第一的
交通,交通
オリンピック,奥林匹克
禁止,禁止
頁,页
新規,新的
記念,纪念馆
無視,忽略
声,嗓音
シングル,单身的
他人,其他的
部分,部分
意見,观点
スペース,空间
すぐ,很快
でも,但
色,颜色
イギリス,英格兰
丁目,丁目
政治,政治
プロ,专业的
文献,文学
その他,其他的
設置,安装
艦,船
施設,设施
詳しく,详细
没,死亡
公開,发布
なさ,美国宇航局
力,力量
ラジオ,收音机
意味,意义
島,岛
通り,街道
もし,如果
画面,屏幕
製作,生产
店,店铺
テンプレート,模板
どう,铜
に対して,反对
節,部分
修正,更正
名古屋,名古屋
全国,全国
ながら,尽管
府,州
連続,连续的
呼ば,称呼
西,西方
議員,议会成员
シーズン,季节
総,全部的
そう,是的
回答,回答
はじめまして,很高兴见到你
対象,主题
路線,路线
位置,位置
なけれ,没有它
郵便,邮政
体,身体
道路,路
いい,好的
人口,人口
押す,推
隣,下一个
同様,相似的
個人,个人
行為,行动
面,表面
追加,添加
館,大厅
そのもの,本身
構い,没问题
読ん,读
馬,马
期間,时期
”,”
しよ,我们开始做吧
せる,让
科学,科学
ましょ,马绍
城,城堡
